;"6"
"1069865";"1"
"1069865"",""creative"":""";"1"
"1069b78a70a2ca378050e2ebb6a6dc3d8be95394";"1"
"1070027"",""creative"":""";"1"
"1070061";"1"
"1070104";"1"
"1070298";"2"
"1070298"",""creative"":""";"1"
"1070302";"11"
"1070395";"1"
"1070568";"12"
"1070568"",""creative"":""";"22"
"1070598";"2"
"1070688";"3"
"107075";"3"
"107075"",""creative"":""";"2"
"107081";"2"
"107081"",""creative"":""";"1"
"107084";"1"
"1070861"",""creative"":""";"1"
"1070862"",""creative"":""";"1"
"1070931";"2"
"1070931"",""creative"":""";"1"
"1070964";"1"
"107121"",""creative"":""";"1"
"1071503";"1"
"1071503"",""creative"":""";"1"
"107172";"1"
"107179";"1"
"1071937";"30"
"1071937"",""creative"":""";"41"
"1072051";"1"
"107214";"1"
"1072140"",""creative"":""";"1"
"1072146"",""creative"":""";"1"
"107215";"3"
"107215"",""creative"":""";"2"
"107231";"1"
"1072431";"1"
"1072457";"1"
"1072457"",""creative"":""";"1"
"1072638";"2"
"1072864";"1"
"107347";"4"
"107347"",""creative"":""";"2"
"107350";"8"
"107353";"3"
"107353"",""creative"":""";"1"
"107357";"2"
"1073582";"1"
"1073667"",""creative"":""";"1"
"1073718"",""creative"":""";"2"
"1073777";"72"
"1073777"",""creative"":""";"8"
"1073815";"1"
"1074445";"3"
"1074484"",""creative"":""";"1"
"1074525"",""creative"":""";"1"
"1074546";"1"
"1074546"",""creative"":""";"1"
"1074548";"2"
"107487";"1"
"1074926";"8"
"1074926"",""creative"":""";"2"
"1075029";"1"
"1075029"",""creative"":""";"1"
"1075031";"1"
"107543";"1"
"1075501";"4"
"1075501"",""creative"":""";"10"
"1075524";"1"
"1075763";"6"
"1075763"",""creative"":""";"4"
"1075828";"1"
"1076085"",""creative"":""";"1"
"1076134";"2"
"1076175";"2"
"1076175"",""creative"":""";"1"
"1076266";"3"
"1076266"",""creative"":""";"2"
"1076385";"1"
"107642";"1"
"1076870";"4"
"1076870"",""creative"":""";"5"
"107697"",""creative"":""";"1"
"107698";"1"
"107700";"1"
"1077024";"1"
"1077044";"1"
"1077298"",""creative"":""";"1"
"107734"",""creative"":""";"1"
"1077409"",""creative"":""";"1"
"1077618"",""creative"":""";"1"
"1077731";"1"
"107774";"1"
"1077814";"2"
"1077978";"5"
"107815";"2"
"107817";"1"
"1078280";"1"
"1078340"",""creative"":""";"2"
"107838"",""creative"":""";"1"
"1078536";"1"
"1078536"",""creative"":""";"1"
"1078639";"1"
"107874";"2"
"107884";"36"
"107884"",""creative"":""";"28"
"1078887"",""creative"":""";"1"
"1078908";"1"
"1079026";"1"
"1079046"",""creative"":""";"1"
"1079164";"1"
"1079224";"29"
"1079224"",""creative"":""";"46"
"1079466";"1"
"1079482";"2"
"1079482"",""creative"":""";"2"
"107979";"1"
"1079836";"1"
"1080494";"26"
"1080494"",""creative"":""";"17"
"108057";"2"
"1080920";"1"
"1080921";"1"
"1080921"",""creative"":""";"2"
"108100";"1"
"108100"",""creative"":""";"1"
"1081021";"1"
"1081092";"1"
"1081092"",""creative"":""";"4"
"1081182";"1"
"108123";"1"
"1081464";"1"
"1081572";"1"
"1081590";"2"
"1081590"",""creative"":""";"1"
"1081600"",""creative"":""";"1"
"1081602";"1"
"108209";"1"
"1082221";"1"
"108248";"1"
"108248"",""creative"":""";"1"
"1082569"",""creative"":""";"1"
"108261";"73"
"108261"",""creative"":""";"14"
"1082640";"3"
"1082640"",""creative"":""";"4"
"1082719";"11"
"1082719"",""creative"":""";"1"
"108281";"1"
"1083365";"1"
"1083365"",""creative"":""";"1"
"1083557"",""creative"":""";"2"
"1083564";"2"
"1083701"",""creative"":""";"1"
"1083763";"1"
"1083874"",""creative"":""";"3"
"1083912";"1"
"1083921";"1"
"1084052"",""creative"":""";"1"
"1084122"",""creative"":""";"1"
"1084143"",""creative"":""";"1"
"1084372";"1"
"1084424"",""creative"":""";"1"
"1085"",""clickid"":""102ccac011d1750a093c2383ba78ca"",""idfa"":""";"1"
"108505";"1"
"108511";"1"
"108511"",""creative"":""";"1"
"1085122"",""creative"":""";"1"
"1085127";"1"
"108517";"1"
"108536";"1"
"1085426";"1"
"1085540";"1"
"1085581"",""creative"":""";"1"
"1085628";"1"
"1085703";"1"
"1085703"",""creative"":""";"1"
"1085853"",""creative"":""";"1"
"108590"",""creative"":""";"1"
"108622";"1"
"1086409";"2"
"1086425";"1"
"108658";"11"
"108658"",""creative"":""";"2"
"1086624"",""creative"":""";"1"
"108675";"97"
"108675"",""creative"":""";"24"
"108769";"2"
"108769"",""creative"":""";"1"
"1087735";"2"
"108783";"2"
"1088099";"6"
"1088129";"1"
"1088129"",""creative"":""";"1"
"1088654"",""creative"":""";"2"
"1088977";"1"
"1089325";"1"
"1089382"",""creative"":""";"4"
"1090100";"4"
"109026";"84"
"109026"",""creative"":""";"26"
"109029";"24"
"109029"",""creative"":""";"108"
"109030";"1"
"109060";"20"
"109060"",""creative"":""";"11"
"109078";"1"
"109082";"8"
"109093";"2"
"109093"",""creative"":""";"1"
"109117";"1"
"109139";"2"
"109146";"1"
"109305"",""creative"":""";"1"
"109328";"2"
"109328"",""creative"":""";"1"
"109428";"3"
"109439";"1"
"109443"",""creative"":""";"1"
"109630"",""creative"":""";"1"
"109639";"4"
"109639"",""creative"":""";"3"
"109647"",""creative"":""";"1"
"109661";"3"
"109683";"1"
"109697";"1"
"109697"",""creative"":""";"1"
"109711";"2"
"109732"",""creative"":""";"1"
"109781";"6"
"109781"",""creative"":""";"1"
"109815";"2"
"109815"",""creative"":""";"2"
"109848";"3"
"109848"",""creative"":""";"1"
"109854";"3"
"109854"",""creative"":""";"4"
"109855";"1"
"109859";"176"
"109859"",""creative"":""";"109"
"109874";"1"
"110014";"3"
"110016";"1"
"110103";"1"
"110103"",""creative"":""";"2"
"110145";"1"
"110145"",""creative"":""";"1"
"110158"",""creative"":""";"1"
"110164"",""creative"":""";"1"
"110169";"1"
"110169"",""creative"":""";"2"
"110211";"32"
"110211"",""creative"":""";"16"
"110215";"3"
"110216";"2"
"110216"",""creative"":""";"1"
"110259"",""creative"":""";"1"
"110263";"1"
"110324";"2"
"110454";"1"
"110462";"1"
"110500";"1"
"110512"",""creative"":""";"1"
"110526";"1"
"110606";"4"
"110606"",""creative"":""";"2"
"110639"",""creative"":""";"1"
"110775";"1"
"110780";"1"
"110791";"1"
"110797";"24"
"110797"",""creative"":""";"13"
"11081";"3"
"110899"",""creative"":""";"1"
"110920"",""creative"":""";"1"
"110921";"173"
"110921"",""creative"":""";"134"
"111048";"1"
"111049";"10"
"111049"",""creative"":""";"2"
"111132";"4"
"111132"",""creative"":""";"3"
"111164";"3"
"111164"",""creative"":""";"1"
"11117";"1"
"11117"",""creative"":""";"1"
"111236";"1"
"111236"",""creative"":""";"1"
"111275";"1"
"11139";"98"
"11139"",""creative"":""";"112"
"111397";"4"
"111397"",""creative"":""";"3"
"111399";"4"
"111400";"3"
"111454";"9"
"111454"",""creative"":""";"1"
"11153"",""creative"":""";"1"
"111542";"2"
"111600";"2"
"111634"",""creative"":""";"1"
"111646";"66"
"111646"",""creative"":""";"29"
"111666";"1"
"111677";"1"
"111747";"12"
"111747"",""creative"":""";"9"
"111762";"1"
"111804"",""creative"":""";"1"
"111805";"2"
"111807";"2"
"111885";"3863"
"111885"",""creative"":""";"1707"
"111896";"1"
"11190";"1"
"11193";"17"
"11193"",""creative"":""";"7"
"111985";"4"
"112087"",""creative"":""";"1"
"112115";"1"
"112136"",""creative"":""";"1"
"112146";"3"
"112186"",""creative"":""";"2"
"112217"",""creative"":""";"1"
"112247";"1"
"112265";"1"
"112265"",""creative"":""";"1"
"112293";"6"
"112293"",""creative"":""";"7"
"112301"",""creative"":""";"1"
"112397";"1"
"112399";"1"
"112405";"2"
"112416";"1"
"11253";"42"
"11253"",""creative"":""";"7"
"112560"",""creative"":""";"1"
"112572"",""creative"":""";"1"
"112596";"1"
"11261";"31"
"11261"",""creative"":""";"1"
"112641";"1"
"11266";"1"
"11268";"1"
"11268"",""creative"":""";"1"
"112756"",""creative"":""";"2"
"112871";"1"
"112873";"1"
"112927";"4"
"113008";"20"
"113008"",""creative"":""";"7"
"11302";"1"
"113040";"1"
"113198";"1"
"113198"",""creative"":""";"1"
"113254";"1"
"113254"",""creative"":""";"1"
"113261";"15"
"113261"",""creative"":""";"6"
"113418"",""creative"":""";"1"
"113476";"1"
"113536"",""creative"":""";"1"
"113544";"14"
"113544"",""creative"":""";"2"
"113614"",""creative"":""";"1"
"11364";"1"
"113644";"1"
"113707";"3"
"113707"",""creative"":""";"2"
"113712";"1"
"11373";"12"
"113743";"1"
"11375";"103"
"11383";"21"
"11383"",""creative"":""";"2"
"113871";"1"
"113871"",""creative"":""";"1"
"113949";"1"
"113949"",""creative"":""";"1"
"113956";"1"
"113960";"1"
"113960"",""creative"":""";"1"
"113970";"4"
"113970"",""creative"":""";"4"
"113976";"2"
"113976"",""creative"":""";"1"
"113985";"1"
"113985"",""creative"":""";"1"
"114009";"4"
"114009"",""creative"":""";"6"
"114111";"13"
"114111"",""creative"":""";"7"
"114125";"2"
"114125"",""creative"":""";"1"
"114259";"1"
"114323";"1"
"114601";"5"
"114601"",""creative"":""";"4"
"114761";"3"
"114767";"1"
"114804"",""creative"":""";"1"
"114824"",""creative"":""";"1"
"11483";"1"
"114862";"7"
"114862"",""creative"":""";"1"
"114908";"8"
"114908"",""creative"":""";"4"
"114959";"3"
"115093";"1"
"115207";"1"
"115308";"2"
"115308"",""creative"":""";"1"
"115322";"2"
"115327"",""creative"":""";"1"
"115370";"1"
"115370"",""creative"":""";"2"
"115443";"50"
"115443"",""creative"":""";"34"
"11547";"20"
"11547"",""creative"":""";"4"
"115609";"1"
